p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.7356613877371414e-9	1.1790585560215758	0.581	0.236	7.449205958808236e-5	14	ARL5B
2.8478050134775846e-9	1.5356870305014667	0.419	0.145	7.754573051699462e-5	14	NSUN4
2.857979537803197e-9	0.8365025605406348	0.919	0.735	7.782278281438105e-5	14	PTPN2
3.0264087683926758e-9	1.2728704048704569	0.661	0.325	8.240911076333256e-5	14	CNOT10
3.0290982398474375e-9	1.2600639148177322	0.387	0.121	8.248234507104573e-5	14	SETD1A
3.031947370958785e-9	0.8737728070486219	0.919	0.684	8.255992691120773e-5	14	NIN
3.044072524917073e-9	0.8994417445112004	0.952	0.697	8.28900948534919e-5	14	DNAJC3
3.151293483977921e-9	0.4201684732429722	0.484	0.167	8.580972156871879e-5	14	PALM2AKAP2
3.204486409432593e-9	0.9482296655443928	0.935	0.772	8.725816492884953e-5	14	ARID4A
3.218472930386886e-9	1.0178839823593009	0.839	0.502	8.763901789443492e-5	14	FAM193A
3.227997260821762e-9	1.0455842201643422	0.935	0.81	8.789836541217658e-5	14	BTG2
3.311758724785205e-9	1.349928010164275	0.5	0.203	9.017919007590114e-5	14	FRMD4B
3.4813877702755242e-9	1.1547727119462246	0.806	0.474	9.479818898460253e-5	14	ATP2C1
3.537214020875666e-9	0.29755123473711725	0.71	0.286	9.63183377884444e-5	14	DAPK1
3.6567197920667747e-9	1.051591027533967	0.677	0.315	9.957247993797832e-5	14	LY9
3.6911058348565436e-9	2.0621921373254013	0.306	0.093	1.0050881188314368e-4	14	NT5DC3
3.909563663243776e-9	1.3759083880166652	0.661	0.344	1.0645741855012802e-4	14	CAMKMT
4.0095351006950285e-9	0.9095074523502698	0.903	0.642	1.091796407919256e-4	14	TRIM22
4.052570849749103e-9	1.4612155202945412	0.355	0.11	1.1035150423866807e-4	14	QDPR
4.090694382927034e-9	1.1355145190204337	0.823	0.493	1.1138960804710312e-4	14	STAG3L5P
4.329728312342819e-9	1.3998105117033657	0.484	0.195	1.1789850194509496e-4	14	SHB
4.335487852310909e-9	1.2456964076336052	0.677	0.332	1.1805533421842604e-4	14	BCL2L13
4.439246451459455e-9	0.714540052423208	0.984	0.901	1.2088068087324096e-4	14	TGFBR2
4.5207816959073174e-9	0.8849777702390698	0.984	0.788	1.2310088557955623e-4	14	NEMF
4.527251451539712e-9	1.200190725872274	0.581	0.25	1.2327705702542635e-4	14	MICAL1
4.912179135467581e-9	0.4892295379432694	1	0.901	1.3375863785878222e-4	14	MAP3K2
5.063083422211503e-9	1.5622121629461754	0.355	0.116	1.3786776158681923e-4	14	NCF1B
5.063457839945857e-9	1.2347673173331566	0.629	0.295	1.378779569817257e-4	14	MED30
5.096509117954106e-9	1.7386033897618176	0.29	0.084	1.3877794328189032e-4	14	ARSI
5.184366411052458e-9	1.075028552618711	0.677	0.321	1.4117029737295843e-4	14	ABL1
5.240801167598744e-9	1.491572991998131	0.355	0.113	1.427070157937138e-4	14	ENSG00000290924
5.4664104279950015e-9	0.9777199136345434	0.839	0.496	1.4885035595430386e-4	14	NARS1
5.960730879643067e-9	1.140412575356794	0.726	0.383	1.6231070185268072e-4	14	SEC61A1
6.118150033256834e-9	1.183769940126311	0.71	0.368	1.665972254055836e-4	14	SEC11C
6.141714159429079e-9	0.6466033539359755	0.677	0.272	1.6723887656125384e-4	14	CD68
